query_id,A_map@k,B_map@k,D_map@k,A_ndcg@k,B_ndcg@k,D_ndcg@k,A_precision@k,B_precision@k,D_precision@k,A_recall@k,B_recall@k,D_recall@k
q_bas26682->haut,0.500000,1.000000,0.500000,0.630930,1.000000,0.369070,0.166667,0.166667,0.000000,1.000000,1.000000,0.000000
q_bas26772->haut,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,0.166667,0.166667,0.000000,1.000000,1.000000,0.000000
q_bas26822->haut,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,0.166667,0.166667,0.000000,1.000000,1.000000,0.000000
q_bas26952->haut,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,0.166667,0.166667,0.000000,1.000000,1.000000,0.000000
q_bas26972->haut,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,0.166667,0.166667,0.000000,1.000000,1.000000,0.000000
q_bas3946->haut,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,0.166667,0.166667,0.000000,1.000000,1.000000,0.000000
q_bas3950->haut,0.500000,0.500000,0.000000,0.630930,0.630930,0.000000,0.166667,0.166667,0.000000,1.000000,1.000000,0.000000
q_bas4029->haut,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,0.166667,0.166667,0.000000,1.000000,1.000000,0.000000
q_bas40932->haut,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,0.166667,0.166667,0.000000,1.000000,1.000000,0.000000
q_bas40952->haut,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,0.166667,0.166667,0.000000,1.000000,1.000000,0.000000
q_bas4128->chaussure,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,0.166667,0.166667,0.000000,1.000000,1.000000,0.000000
q_bas89922->haut,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,0.166667,0.166667,0.000000,1.000000,1.000000,0.000000
q_bas89932->haut,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,0.166667,0.166667,0.000000,1.000000,1.000000,0.000000
q_bas89942->haut,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,0.166667,0.166667,0.000000,1.000000,1.000000,0.000000
q_bas89952->haut,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,0.166667,0.166667,0.000000,1.000000,1.000000,0.000000
q_bas89962->haut,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,0.166667,0.166667,0.000000,1.000000,1.000000,0.000000
q_bas89972->haut,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,0.166667,0.166667,0.000000,1.000000,1.000000,0.000000
q_bas89982->haut,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,0.166667,0.166667,0.000000,1.000000,1.000000,0.000000
q_bas90012->haut,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,0.166667,0.166667,0.000000,1.000000,1.000000,0.000000
q_bas90022->haut,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,0.166667,0.166667,0.000000,1.000000,1.000000,0.000000
q_bas90032->haut,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,0.166667,0.166667,0.000000,1.000000,1.000000,0.000000
q_bas90042->haut,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,0.166667,0.166667,0.000000,1.000000,1.000000,0.000000
q_bas90052->haut,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,0.166667,0.166667,0.000000,1.000000,1.000000,0.000000
