variant,precision@k,recall@k,map@k,ndcg@k,fitb_acc
clip_only,0.1644193391642369,1.0,0.7965986394557822,0.84742400813169,0.0
+color,0.1644193391642369,1.0,0.8030612244897961,0.8525866250039332,0.0
+luminance,0.1644193391642369,1.0,0.7931972789115648,0.844994003102536,0.0
+texture,0.1644193391642369,1.0,0.7962585034013605,0.8471638072022231,0.0
+pattern,0.1644193391642369,1.0,0.7965986394557822,0.84742400813169,0.0
+text,0.1644193391642369,1.0,0.7965986394557822,0.84742400813169,0.0
+color+texture,0.1644193391642369,1.0,0.8081632653061226,0.8563526479266735,0.0
+color+luminance,0.1644193391642369,1.0,0.7977891156462587,0.8486861313596387,0.0
+pattern+luminance,0.1644193391642369,1.0,0.7931972789115648,0.844994003102536,0.0
+text+color,0.1644193391642369,1.0,0.8013605442176871,0.851250607110347,0.0
full_ext,0.1644193391642369,1.0,0.7979591836734695,0.848820602081193,0.0
no_clip_sanity,0.1644193391642369,1.0,0.8112244897959185,0.8589744847190965,0.0
