variant,precision@k,recall@k,map@k,ndcg@k,fitb_acc
clip_only,0.199489795918367,0.9897959183673469,0.9047619047619048,0.9263047080729284,0.0
+color,0.199489795918367,0.9897959183673469,0.9115646258503403,0.9314067488892549,0.0
+luminance,0.199489795918367,0.9897959183673469,0.9081632653061225,0.9287347131020824,0.0
+texture,0.199489795918367,0.9897959183673469,0.9149659863945578,0.933836753918409,0.0
+pattern,0.199489795918367,0.9897959183673469,0.9047619047619048,0.9263047080729284,0.0
+text,0.199489795918367,0.9897959183673469,0.9047619047619048,0.9263047080729284,0.0
+color+texture,0.199489795918367,0.9897959183673469,0.9166666666666667,0.9351727718119952,0.0
+color+luminance,0.199489795918367,0.9897959183673469,0.9183673469387755,0.9362667589475628,0.0
+pattern+luminance,0.199489795918367,0.9897959183673469,0.9081632653061225,0.9287347131020824,0.0
+text+color,0.199489795918367,0.9897959183673469,0.9115646258503403,0.9314067488892549,0.0
full_ext,0.199489795918367,0.9897959183673469,0.9200680272108844,0.9376027768411491,0.0
no_clip_sanity,0.2015306122448976,1.0,0.917857142857143,0.9384916136037267,0.0
