variant,precision@k,recall@k,map@k,ndcg@k,fitb_acc
clip_only,0.2015306122448976,1.0,0.916156462585034,0.9370768494827757,0.0
+color,0.2015306122448976,1.0,0.916156462585034,0.9370768494827757,0.0
+luminance,0.2015306122448976,1.0,0.916156462585034,0.9370768494827757,0.0
+texture,0.2015306122448976,1.0,0.916156462585034,0.9370768494827757,0.0
+pattern,0.2015306122448976,1.0,0.916156462585034,0.9370768494827757,0.0
+text,0.2015306122448976,1.0,0.916156462585034,0.9370768494827757,0.0
+color+texture,0.2015306122448976,1.0,0.916156462585034,0.9370768494827757,0.0
+color+luminance,0.2015306122448976,1.0,0.916156462585034,0.9370768494827757,0.0
+pattern+luminance,0.2015306122448976,1.0,0.916156462585034,0.9370768494827757,0.0
+text+color,0.2015306122448976,1.0,0.916156462585034,0.9370768494827757,0.0
full_ext,0.2015306122448976,1.0,0.916156462585034,0.9370768494827757,0.0
no_clip_sanity,0.2015306122448976,1.0,0.916156462585034,0.9370768494827757,0.0
