variant,precision@k,recall@k,map@k,ndcg@k,fitb_acc
clip_only,0.1644193391642369,1.0,0.9071428571428573,0.9304336403998728,0.0
+color,0.1644193391642369,1.0,0.9068027210884354,0.9301209299904185,0.0
+luminance,0.1644193391642369,1.0,0.9054421768707485,0.9290976225062865,0.0
+texture,0.1644193391642369,1.0,0.9088435374149659,0.9317696582934589,0.0
+pattern,0.1644193391642369,1.0,0.9071428571428573,0.9304336403998728,0.0
+text,0.1644193391642369,1.0,0.9071428571428573,0.9304336403998728,0.0
+color+texture,0.1644193391642369,1.0,0.9105442176870748,0.9331056761870453,0.0
+color+luminance,0.1644193391642369,1.0,0.9093537414965985,0.9322168394244679,0.0
+pattern+luminance,0.1644193391642369,1.0,0.9054421768707485,0.9290976225062865,0.0
+text+color,0.1644193391642369,1.0,0.9071428571428573,0.9304336403998728,0.0
full_ext,0.1644193391642369,1.0,0.9088435374149659,0.9317696582934589,0.0
no_clip_sanity,0.1644193391642369,1.0,0.9187074829931973,0.9393622801948561,0.0
