brand_a,brand_b,weight
& Other Stories,Arket,0.2827192363853657
& Other Stories,COS,0.33995326701801204
& Other Stories,Ganni,0.2827192363853657
& Other Stories,Uniqlo,0.33995326701801204
A.P.C.,Ganni,0.30502753927924775
A.P.C.,Isabel Marant,0.30502753927924775
Acne Studios,Comme des Garçons,0.4975192633428134
Acne Studios,Ganni,0.42942417768552343
Acne Studios,Staud,0.42942417768552343
Acne Studios,Stone Island,0.4975192633428134
Ami,Isabel Marant,0.3435122674358525
Ami,Jacquemus,0.3435122674358525
Arket,Ganni,0.2827192363853657
Armani,Valentino,0.40026575101202755
Armani,Versace,0.40026575101202755
Augustinus Bader,Charlotte Tilbury,0.35363423461066706
Augustinus Bader,La Mer,0.35363423461066706
Ba&sh,Maje,0.46681543358808125
Ba&sh,Sandro,0.46681543358808125
Berluti,Brioni,0.5320379718114956
Berluti,Tom Ford,0.5320379718114956
Bottega Veneta,Dior Men,0.5284541319027916
Bottega Veneta,Jacquemus,0.6811337111868915
Bottega Veneta,Louis Vuitton,0.5284541319027916
Bottega Veneta,Mugler,0.5366357217631967
Bottega Veneta,The Row,0.6811337111868915
Bottega Veneta,Versace,0.5366357217631967
Brain Dead,Kith,0.2632506588849501
Brain Dead,Stussy,0.2632506588849501
Brandy Melville,Revolve,0.43012349431422503
Brandy Melville,Urban Outfitters,0.43012349431422503
Brioni,Tom Ford,0.5320379718114956
COS,Stone Island,0.7543621688165232
COS,Uniqlo,1.0943154358345353
Cartier,Celine,0.8888333333333334
Cartier,Tiffany & Co,0.8888333333333334
Celine,Tiffany & Co,0.8888333333333334
Charlotte Tilbury,La Mer,0.35363423461066706
Chrome Hearts,Fear of God,0.42667643424853874
Chrome Hearts,Gallery Dept,0.42667643424853874
Comme des Garçons,Stone Island,0.4975192633428134
Coperni,Jacquemus,0.5684913646309301
Coperni,Mugler,0.5684913646309301
Dior Men,Louis Vuitton,0.5284541319027916
Everlane,Madewell,0.2659720586054912
Everlane,Reformation,0.2659720586054912
Fear of God,Gallery Dept,0.42667643424853874
Ganni,Isabel Marant,0.30502753927924775
Ganni,Jacquemus,1.2199925013366402
Ganni,Staud,1.1047555341393611
Ganni,The Frankie Shop,0.5446611448828025
Isabel Marant,Jacquemus,0.3435122674358525
Jacquemus,Mugler,0.5684913646309301
Jacquemus,Staud,0.6753313564538377
Jacquemus,The Frankie Shop,0.5446611448828025
Jacquemus,The Row,0.6811337111868915
Khaite,Lemaire,0.387571149690214
Khaite,The Row,0.6696815494242339
Khaite,Totême,0.28211039973401986
Kith,Stussy,0.2632506588849501
Lemaire,The Row,0.8196040624873637
Lemaire,Totême,0.43203291279714967
Louis Vuitton,Rolex,0.29083333333333333
Louis Vuitton,Tiffany & Co,0.29083333333333333
Madewell,Reformation,0.2659720586054912
Maje,Sandro,0.46681543358808125
Mugler,Versace,0.5366357217631967
Revolve,Urban Outfitters,0.43012349431422503
Rolex,Tiffany & Co,0.29083333333333333
Rouje,Sezane,0.3737389373374129
Rouje,The Frankie Shop,0.3737389373374129
Sezane,The Frankie Shop,0.3737389373374129
Stone Island,Uniqlo,0.7543621688165232
The Row,Totême,0.7141433125311696
Valentino,Versace,0.40026575101202755
