marque,community,degree_centrality,betweenness_centrality,eigenvector_centrality,degree
Bottega Veneta,0,0.15000000000000002,0.07179487179487179,0.30602397902260214,6
Mugler,0,0.1,0.05,0.23031633322750772,4
Coperni,0,0.05,0.0,0.16272505624911227,2
Versace,0,0.1,0.05128205128205128,0.1106023559163261,4
Dior Men,0,0.05,0.0,0.07314892962800949,2
Louis Vuitton,0,0.05,0.0,0.07314892962800945,2
Armani,0,0.05,0.0,0.018926909787370126,2
Valentino,0,0.05,0.0,0.018926909787370126,2
Jacquemus,1,0.17500000000000002,0.16282051282051282,0.553775951654206,7
Ganni,1,0.1,0.019230769230769232,0.44531492779960063,4
Staud,1,0.07500000000000001,0.08333333333333333,0.3374352224589448,3
The Frankie Shop,1,0.1,0.06794871794871794,0.2076030412430263,4
Acne Studios,1,0.1,0.09358974358974359,0.13595782534292564,4
Sezane,1,0.05,0.0,0.032799810894349454,2
Rouje,1,0.05,0.0,0.0327998108943494,2
Stone Island,2,0.1,0.05128205128205128,0.040840826644394715,4
Comme des Garçons,2,0.05,0.0,0.03211088148836585,2
COS,2,0.05,0.0,0.01872912773109814,2
Uniqlo,2,0.05,0.0,0.018729127731098052,2
The Row,3,0.125,0.07307692307692308,0.294845807399461,5
Lemaire,3,0.07500000000000001,0.001282051282051282,0.11573687517243313,3
Totême,3,0.05,0.0,0.0951214127131393,2
Khaite,3,0.05,0.0,0.08845717184008399,2
Augustinus Bader,4,0.05,0.0,4.0869147194028704e-17,2
Charlotte Tilbury,4,0.05,0.0,3.650395658011317e-17,2
La Mer,4,0.05,0.0,3.6267098576509994e-17,2
Ba&sh,5,0.05,0.0,-7.309806938126194e-17,2
Maje,5,0.05,0.0,-7.706550250482304e-17,2
Sandro,5,0.05,0.0,-7.767829516214359e-17,2
Brioni,6,0.05,0.0,3.770699925345936e-17,2
Tom Ford,6,0.05,0.0,2.187927513603828e-17,2
Berluti,6,0.05,0.0,1.3520750587608305e-17,2
Revolve,7,0.05,0.0,-1.0330281648265982e-17,2
Urban Outfitters,7,0.05,0.0,-1.3482954185259784e-17,2
Brandy Melville,7,0.05,0.0,-2.3269532410739872e-17,2
Tiffany & Co,8,0.05,0.0,-4.357105017484426e-16,2
Celine,8,0.05,0.0,-4.773352097928974e-16,2
Cartier,8,0.05,0.0,-4.782023930694633e-16,2
Gallery Dept,9,0.05,0.0,3.860329968783319e-17,2
Fear of God,9,0.05,0.0,3.329868979273731e-17,2
Chrome Hearts,9,0.05,0.0,3.2757912627214373e-17,2
