marque,community,betweenness_centrality,eigenvector_centrality,degree
Jacquemus,1,0.16282051282051282,0.553775951654206,7
Acne Studios,1,0.09358974358974359,0.13595782534292564,4
Staud,1,0.08333333333333333,0.3374352224589448,3
The Row,3,0.07307692307692308,0.294845807399461,5
Bottega Veneta,0,0.07179487179487179,0.30602397902260214,6
The Frankie Shop,1,0.06794871794871794,0.2076030412430263,4
Versace,0,0.05128205128205128,0.1106023559163261,4
Stone Island,2,0.05128205128205128,0.040840826644394715,4
Mugler,0,0.05,0.23031633322750772,4
Ganni,1,0.019230769230769232,0.44531492779960063,4
